Location,Bedrooms,Bathrooms,Size,Price
Santa Maria-Orcutt,3,2,1850,130000
Santa Maria-Orcutt,3,2,1146,205000
Santa Maria-Orcutt,2,2,1100,180900
Santa Maria-Orcutt,2,3,1800,99999
Santa Maria-Orcutt,5,3,3307,445000
Santa Maria-Orcutt,4,2,1102,210000
Santa Maria-Orcutt,3,2,1215,199900
Santa Maria-Orcutt,3,2,1600,225000
Santa Maria-Orcutt,3,2,1686,120000
Santa Maria-Orcutt,4,2,1257,300000
Santa Maria-Orcutt,3,2,1144,225000
Santa Maria-Orcutt,4,3,2300,399000
Santa Maria-Orcutt,3,2,1238,199900
Santa Maria-Orcutt,2,2,1086,222900
Santa Maria-Orcutt,4,2,1361,170500
Santa Maria-Orcutt,3,2,1200,299900
Santa Maria-Orcutt,2,2,840,65900
Santa Maria-Orcutt,4,2,1377,210000
Santa Maria-Orcutt,3,2,1906,309000
Santa Maria-Orcutt,3,2,2004,315000
Santa Maria-Orcutt,3,1,1200,191100
Santa Maria-Orcutt,4,2,1400,199000
Santa Maria-Orcutt,4,3,2209,359000
Santa Maria-Orcutt,3,2,1316,150000
Santa Maria-Orcutt,4,3,1857,229900
Santa Maria-Orcutt,3,2,1400,229900
Santa Maria-Orcutt,5,3,6098,245000
Santa Maria-Orcutt,3,2,1300,165000
Santa Maria-Orcutt,4,3,2248,309900
Santa Maria-Orcutt,4,2,1500,169900
Santa Maria-Orcutt,3,2,2000,380900
Santa Maria-Orcutt,4,3,1939,315000
Santa Maria-Orcutt,3,2,1312,119900
Santa Maria-Orcutt,3,2,1275,211500
Santa Maria-Orcutt,2,1,854,149000
Santa Maria-Orcutt,4,3,2100,289000
Santa Maria-Orcutt,3,2,900,125000
Santa Maria-Orcutt,3,3,1800,239000
Santa Maria-Orcutt,3,3,1600,199900
Santa Maria-Orcutt,4,3,2150,179900
Santa Maria-Orcutt,3,2,1300,195000
Santa Maria-Orcutt,2,3,1700,265000
Santa Maria-Orcutt,3,3,1530,189000
Santa Maria-Orcutt,2,2,1088,105000
Santa Maria-Orcutt,4,4,4000,365000
Santa Maria-Orcutt,4,2,2100,339900
Santa Maria-Orcutt,3,3,2340,359900
Santa Maria-Orcutt,3,2,1080,143000
Santa Maria-Orcutt,3,2,1196,199000
Santa Maria-Orcutt,4,2,1856,294900
Santa Maria-Orcutt,4,3,2367,427900
Santa Maria-Orcutt,2,2,1130,144900
Santa Maria-Orcutt,3,3,2020,345000
Santa Maria-Orcutt,3,3,1800,225000
Santa Maria-Orcutt,3,3,1660,219900
Santa Maria-Orcutt,4,3,2100,285000
Santa Maria-Orcutt,3,2,1200,179900
Santa Maria-Orcutt,4,3,1768,299000
Santa Maria-Orcutt,3,2,1776,295900
Santa Maria-Orcutt,4,3,1467,199000
Santa Maria-Orcutt,3,3,1950,199900
Santa Maria-Orcutt,3,2,1288,179900
Santa Maria-Orcutt,3,2,1128,168000
Santa Maria-Orcutt,3,3,1900,270000
Santa Maria-Orcutt,3,2,1255,240000
Santa Maria-Orcutt,4,3,2336,235000
Santa Maria-Orcutt,3,3,1800,269000
Santa Maria-Orcutt,6,3,2053,339900
